key,category,canonical_unit,scope,label_en,label_gu,label_hi,synonyms
grid_electricity,electricity,kWh,scope2,Grid Electricity,ગ્રીડ વીજળી,ग्रिड बिजली,"{""units"",""kwh"",""bijli"",""વીજળી"",""बिजली"",""power"",""electricity""}"
solar_onsite_generation,electricity,kWh,,Solar Onsite Generation,ઓનસાઇટ સોલર ઉત્પાદન,ऑनसाइट सौर उत्पादन,"{""solar"",""solar generation"",""rooftop solar""}"
diesel,fuel,L,scope1,Diesel,ડીઝલ,डीजल,"{""hsd"",""high speed diesel"",""dg fuel"",""diesel oil""}"
petrol,fuel,L,scope1,Petrol,પેટ્રોલ,पेट्रोल,"{""gasoline"",""motor spirit"",""ms""}"
furnace_oil,fuel,kg,scope1,Furnace Oil,ફર્નેસ ઓઇલ,फर्नेस तेल,"{""fo"",""lshs"",""heavy fuel oil"",""melting oil""}"
lpg,fuel,kg,scope1,LPG,એલપીજી,एलपीजी,"{""liquefied petroleum gas"",""commercial cylinder"",""lpg cylinder""}"
natural_gas,fuel,m**3,scope1,Natural Gas,કુદરતી ગેસ,प्राकृतिक गैस,"{""png"",""cng"",""piped natural gas"",""gas""}"
coal,fuel,kg,scope1,Coal,કોલસો,कोयला,"{""steam coal"",""coking coal"",""thermal coal""}"
biomass_briquettes,fuel,kg,scope1,Biomass Briquettes,બાયોમાસ બ્રિકેટ્સ,बायोमास ब्रिकेट्स,"{""white coal"",""bio coal"",""briquettes""}"
brass_input_primary,material,kg,scope3,Primary Brass Input (Virgin),પ્રાથમિક પિત્તળ (વર્જિન),प्राथमिक पीतल (वर्जिन),"{""virgin brass"",""brass rod virgin"",""primary brass rod"",""is319""}"
brass_input_secondary,material,kg,scope3,Secondary Brass Input (Recycled),ગૌણ પિત્તળ (રિસાઇકલ્ડ),द्वितीयक पीतल (रीसाइकिल),"{""recycled brass"",""brass scrap input"",""secondary brass rod""}"
copper_input,material,kg,scope3,Copper Input,તાંબુ,तांबा,"{""copper wire"",""copper cathode"",""virgin copper""}"
steel_input,material,kg,scope3,Steel Input,સ્ટીલ,स्टील,"{""mild steel"",""ms rod"",""ss input"",""steel bar""}"
aluminium_input_primary,material,kg,scope3,Primary Aluminium Input (Virgin),પ્રાથમિક એલ્યુમિનિયમ,प्राथमिक एल्युमिनियम,"{""virgin aluminium"",""ingot"",""primary aluminium""}"
aluminium_input_secondary,material,kg,scope3,Secondary Aluminium Input (Recycled),ગૌણ એલ્યુમિનિયમ,द्वितीयक एल्युमिनियम,"{""recycled aluminium"",""aluminium scrap""}"
packaging_corrugated,material,kg,scope3,Corrugated Box Packaging,કાર્ટન બોક્સ પેકેજિંગ,कार्टन बॉक्स पैकेजिंग,"{""cartons"",""boxes"",""corrugated sheet""}"
packaging_plastic,material,kg,scope3,Plastic Packaging,પ્લાસ્ટિક પેકેજિંગ,प्लास्टिक पैकेजिंग,"{""stretch film"",""polythene"",""plastic bags""}"
cutting_oil,material,kg,scope3,Cutting Oil & Coolant,કટિંગ ઓઇલ અને કૂલન્ટ,कटिंग तेल और कूलेंट,"{""neat cutting oil"",""soluble oil"",""coolant""}"
road_freight_hgv,transport,t*km,scope3,Road Freight (Heavy Goods Vehicle),રોડ નૂર (HGV),સड़क माल ढुलाई (HGV),"{""hgv freight"",""heavy truck"",""container transport""}"
road_freight_lcv,transport,t*km,scope3,Road Freight (Light Commercial Vehicle),રોડ નૂર (LCV),सड़क माल ढुलाई (LCV),"{""lcv freight"",""tempo"",""chhota hathi"",""pickup""}"
waste_metal_scrap_recycled,waste,kg,scope3,Recycled Metal Scrap,રિસાઇકલ્ડ મેટલ ભંગાર,रीसाइकिल धातु स्क्रैप,"{""brass swarf"",""metal chips"",""boring scrap""}"
waste_paper_recycled,waste,kg,scope3,Recycled Paper Waste,રિસાઇકલ્ડ કાગળ કચરો,रीसाइकिल कागज कचरा,"{""waste paper"",""used boxes""}"
waste_general_landfill,waste,kg,scope3,General Waste to Landfill,સામાન્ય કચરો (લેન્ડફિલ),सामान्य कचरा (लैंडफिल),"{""municipal waste"",""general refuse""}"
waste_hazardous_incineration,waste,kg,scope3,Hazardous Waste Incineration,જોખમી કચરો (ઇન્સિનરેશન),खतरनाक कचरा (भस्मीकरण),"{""spent coolant"",""grinding sludge"",""oil waste""}"
water_supply,water,m**3,scope3,Purchased Water Supply,પાણી પુરવઠો,जल आपूर्ति,"{""tanker water"",""borewell water"",""gidc water""}"
production_output,production,t,,Finished Production Output,તૈયાર ઉત્પાદન આઉટપુટ,तैयार उत्पाद आउटपुट,"{""finished goods"",""dispatch pieces"",""finished parts""}"
