code,title_en,title_gu,title_hi,description_en,description_gu,description_hi,category,industries,pool,effect_type,effect_params,capex_model,savings_model,lifetime_years,difficulty,downtime_days,circularity_points,requires,conflicts,applicability,source_name,source_url,verified
CA_LEAK_FIX,Find and fix compressed-air leaks,કોમ્પ્રેસ્ડ-એર લીક શોધો અને ઠીક કરો,कंप्रेस्ड-एयर लीकेज खोजें और ठीक करें,Ultrasonic acoustic leak detection and sealing across distribution lines,વિતરણ લાઇનોમાં અલ્ટ્રાસોનિક એકોસ્ટિક લીક શોધ અને સીલિંગ,वितरण लाइनों में अल्ट्रासोनिक ध्वनिक रिसाव का पता लगाना और सीलिंग,energy_efficiency,"{""*""}",grid_kwh,reduce_fraction,"{""share_of_pool"":0.15,""share_low"":0.10,""share_high"":0.25,""reduction"":0.20,""reduction_low"":0.10,""reduction_high"":0.30}","{""type"":""fixed"",""mode"":40000,""low"":20000,""high"":80000}","{""type"":""energy_kwh"",""annual_opex_inr"":0}",2,1,0,0,"{}","{}","{""min_pool_share"":0.02}",BEE Energy Audit SME Jamnagar,,false
CA_VFD_PRESSURE,Variable-speed compressor and lower line pressure,વેરિયેબલ-સ્પીડ કોમ્પ્રેસર અને લોઅર લાઇન પ્રેશર,वेरिएबल-स्पीड कंप्रेसर और कम लाइन दबाव,Install VFD screw compressor and reduce main header pressure by 1 bar,VFD સ્ક્રૂ કોમ્પ્રેસર ઇન્સ્ટોલ કરો અને મુખ્ય હેડર પ્રેશર 1 બાર ઘટાડો,वीएफडी स्क्रू कंप्रेसर स्थापित करें और मुख्य हेडर दबाव 1 बार कम करें,energy_efficiency,"{""*""}",grid_kwh,reduce_fraction,"{""share_of_pool"":0.15,""share_low"":0.10,""share_high"":0.25,""reduction"":0.15,""reduction_low"":0.08,""reduction_high"":0.25}","{""type"":""fixed"",""mode"":350000,""low"":250000,""high"":500000}","{""type"":""energy_kwh"",""annual_opex_inr"":10000}",10,2,1,0,"{}","{}","{""min_pool_share"":0.02}",BEE Guide on Compressed Air,,false
CNC_IDLE_STANDBY,Auto-standby for idle CNC machines,નિષ્ક્રિય CNC મશીનો માટે ઓટો-સ્ટેન્ડબાય,निष्क्रिय सीएनसी मशीनों के लिए ऑटो-स्टैंडबाय,Automated standby interlock for hydraulics and pumps on idle CNC machines,નિષ્ક્રિય CNC મશીનો પર હાઇડ્રોલિક્સ અને પંપ માટે સ્વચાલિત સ્ટેન્ડબાય,निष्क्रिय सीएनसी मशीनों पर हाइड्रोलिक्स और पंपों के लिए स्वचालित स्टैंडबाय,energy_efficiency,"{""*""}",grid_kwh,reduce_fraction,"{""share_of_pool"":0.45,""share_low"":0.35,""share_high"":0.60,""reduction"":0.08,""reduction_low"":0.04,""reduction_high"":0.12}","{""type"":""fixed"",""mode"":150000,""low"":80000,""high"":300000}","{""type"":""energy_kwh"",""annual_opex_inr"":0}",8,2,0,0,"{}","{}","{""min_pool_share"":0.05}",SME CNC Productivity Study,,false
IE3_MOTORS,Replace old motors with IE3/IE4,જૂના મોટર્સને IE3/IE4 સાથે બદલો,पुराने मोटर्स को IE3/IE4 से बदलें,Retrofit standard efficiency pump and blower motors with premium IE3 motors,પ્રીમિયમ IE3 મોટર્સ સાથે જૂની મોટર્સ રેટ્રોફિટ કરો,प्रीमियम IE3 मोटर्स के साथ पुरानी मोटरों को बदलें,energy_efficiency,"{""*""}",grid_kwh,reduce_fraction,"{""share_of_pool"":0.20,""share_low"":0.15,""share_high"":0.30,""reduction"":0.05,""reduction_low"":0.03,""reduction_high"":0.08}","{""type"":""fixed"",""mode"":300000,""low"":200000,""high"":450000}","{""type"":""energy_kwh"",""annual_opex_inr"":0}",15,2,1,0,"{}","{}","{""min_pool_share"":0.05}",BEE Premium Efficiency Motors,,false
LED_LIGHTING,LED factory lighting with daylight sensors,ડેલાઇટ સેન્સર્સ સાથે એલઇડી લાઇટિંગ,डेलाइट सेंसर के साथ एलईडी फैक्ट्री लाइटिंग,Replace metal halide lamps with smart dimming industrial LEDs,મેટલ હેલાઇડ લેમ્પને સ્માર્ટ ડિમિંગ ઇન્ડસ્ટ્રીયલ એલઇડીથી બદલો,मेटल हैलाइड लैंप को स्मार्ट डिमिंग औद्योगिक एलईडी से बदलें,energy_efficiency,"{""*""}",grid_kwh,reduce_fraction,"{""share_of_pool"":0.05,""share_low"":0.03,""share_high"":0.08,""reduction"":0.50,""reduction_low"":0.40,""reduction_high"":0.60}","{""type"":""fixed"",""mode"":120000,""low"":80000,""high"":200000}","{""type"":""energy_kwh"",""annual_opex_inr"":0}",8,1,0,0,"{}","{}","{""min_pool_share"":0.01}",Standard Lighting Audit,,false
SOLAR_ROOFTOP,Rooftop solar for own use,પોતાના ઉપયોગ માટે રૂફટોપ સોલર,स्वयं के उपयोग के लिए रूफटॉप सोलर,Grid-tied rooftop solar PV plant for captive daytime consumption,કેપ્ટિવ વપરાશ માટે ગ્રીડ-ટાઇડ રૂફટોપ સોલર પીવી પ્લાન્ટ,कैप्टिव खपत के लिए ग्रिड-बंधे रूफटॉप सौर पीवी संयंत्र,renewable,"{""*""}",grid_kwh,onsite_generation,"{""levels_kwp"":[25,50,75,100,150,200,300],""yield_kwh_per_kwp"":1500,""yield_low"":1350,""yield_high"":1650,""annual_opex_per_kwp_inr"":500}","{""type"":""per_kwp"",""mode"":45000,""low"":40000,""high"":55000}","{""type"":""energy_kwh"",""annual_opex_per_kwp_inr"":500}",25,2,0,2,"{}","{}","{""min_pool_share"":0.05}",MNRE Rooftop Solar Benchmarks,,false
FURNACE_INSULATION,Better refractory and insulation on melting furnace,મેલ્ટિંગ ફર્નેસ પર વધુ સારું રિફ્રેક્ટરી અને ઇન્સ્યુલેશન,मेल्टिंग फर्नेस पर बेहतर दुर्दम्य सामग्री और इन्सुलेशन,Upgrade furnace lining with ceramic fiber blanket and insulated lids,સિરામિક ફાઇબર અને ઇન્સ્યુલેટેડ ઢાંકણા સાથે ફર્નેસ લાઇનિંગ અપગ્રેડ કરો,सिरेमिक फाइबर और इंसुलेटेड ढक्कन के साथ भट्टी के अस्तर को अपग्रेड करें,energy_efficiency,"{""brass_components"",""foundry"",""other""}",melting_fuel,reduce_fraction,"{""share_of_pool"":1.0,""reduction"":0.12,""reduction_low"":0.08,""reduction_high"":0.20}","{""type"":""fixed"",""mode"":150000,""low"":100000,""high"":250000}","{""type"":""fuel""}",5,2,2,0,"{}","{""INDUCTION_FURNACE""}","{""requires_activity"":[""furnace_oil"",""lpg"",""natural_gas"",""coal""]}",TERI Foundry Energy Efficiency,,false
FURNACE_HEAT_RECOVERY,Furnace flue gas heat recovery,વેસ્ટ હીટ રિકવરી સિસ્ટમ,फर्नेस फ्लू गैस अपशिष्ट ताप वसूली,Recover flue gas waste heat via recuperator to preheat combustion air,કમ્બશન હવાને પ્રીહિટ કરવા માટે ફ્લુ ગેસ વેસ્ટ હીટ પુનઃપ્રાપ્ત કરો,दहन हवा को पहले से गर्म करने के लिए अपशिष्ट गर्मी पुनर्प्राप्त करें,energy_efficiency,"{""brass_components"",""foundry"",""other""}",melting_fuel,reduce_fraction,"{""share_of_pool"":1.0,""reduction"":0.15,""reduction_low"":0.10,""reduction_high"":0.25}","{""type"":""fixed"",""mode"":400000,""low"":300000,""high"":600000}","{""type"":""fuel""}",10,3,3,1,"{}","{""INDUCTION_FURNACE""}","{""requires_activity"":[""furnace_oil"",""lpg"",""natural_gas""]}",BEE Waste Heat Recovery Guide,,false
INDUCTION_FURNACE,Switch oil melting to electric induction furnace,ઓઇલ મેલ્ટિંગમાંથી ઇલેક્ટ્રિક ઇન્ડક્શન ફર્નેસમાં ફેરબદલ,तेल भट्टी को इलेक्ट्रिक इंडक्शन फर्नेस में बदलें,Replace inefficient oil crucible furnace with medium-frequency induction melting,તેલ ભઠ્ઠીને મધ્યમ-આવર્તન ઇન્ડક્શન મેલ્ટિંગથી બદલો,तेल क्रूसिबल भट्टी को इंडक्शन मेल्टिंग से बदलें,fuel_switch,"{""brass_components"",""foundry"",""other""}",melting_fuel,fuel_to_electric,"{""fraction"":1.0,""fuel_efficiency"":0.20,""fuel_eff_low"":0.15,""fuel_eff_high"":0.30,""electric_efficiency"":0.65,""electric_eff_low"":0.55,""electric_eff_high"":0.75}","{""type"":""fixed"",""mode"":1800000,""low"":1200000,""high"":2500000}","{""type"":""fuel_to_electric"",""annual_opex_inr"":25000}",15,4,7,0,"{}","{""FURNACE_INSULATION"",""FURNACE_HEAT_RECOVERY""}","{""requires_activity"":[""furnace_oil"",""coal""]}",Jamnagar Brass Cluster Study,,false
RECYCLED_BRASS_ROD,Buy higher recycled-content brass rod,ઉચ્ચ રિસાઇકલ્ડ કન્ટેન્ટ ધરાવતી પિત્તળની રોડ ખરીદો,उच्च रीसाइकिल्ड सामग्री वाली पीतल की रॉड खरीदें,Shift raw material purchases towards certified high secondary content rod,પ્રમાણિત ઉચ્ચ ગૌણ સામગ્રી રોડ તરફ કાચા માલની ખરીદી શિફ્ટ કરો,उच्च माध्यमिक सामग्री रॉड की ओर कच्चे माल की खरीद स्थानांतरित करें,material_circularity,"{""brass_components"",""other""}",brass_input,shift_to_secondary,"{""levels"":[0.4,0.6,0.8],""price_diff_inr_per_kg"":0.0,""price_diff_low"":-10.0,""price_diff_high"":15.0}","{""type"":""fixed"",""mode"":50000,""low"":25000,""high"":100000}","{""type"":""material_price_diff""}",5,2,0,8,"{}","{}","{""min_pool_share"":0.10}",Circular Metals Initiative,,false
SWARF_SEGREGATION_LOOP,Segregate brass swarf and return to supplier,સ્વચ્છ પિત્તળના કચરાને અલગ કરો અને સપ્લાયરને પરત કરો,स्वच्छ पीतल स्क्रैप को अलग करें और सप्लायर को लौटाएं,Clean alloy-specific chip segregation with chip wringer and direct supplier buy-back,ચિપ રિંગર અને ડાયરેક્ટ સપ્લાયર બાય-બેક સાથે સ્વચ્છ એલોય ચિપ અલગ કરો,चिप रिंगर और डायरेक्ट सप्लायर बाय-बैक के साथ स्क्रैप पृथक्करण,waste_circularity,"{""brass_components"",""other""}",brass_input,shift_to_secondary,"{""delta"":0.15,""delta_low"":0.10,""delta_high"":0.25,""scrap_value_gain_inr_per_kg"":20.0,""scrap_gain_low"":10.0,""scrap_gain_high"":40.0}","{""type"":""fixed"",""mode"":200000,""low"":120000,""high"":300000}","{""type"":""material_price_diff""}",8,2,0,10,"{}","{}","{""min_pool_share"":0.10}",Jamnagar Scrap Recycling Practices,,false
CHIP_WRINGER_OIL,Centrifuge swarf to recover cutting oil,કટિંગ ઓઇલ પુનઃપ્રાપ્ત કરવા માટે ચિપ રિંગર સેન્ટ્રીફ્યુજ,कटिंग तेल की वसूली के लिए चिप रिंगर सेंट्रीफ्यूज,High-speed centrifugal chip wringer to recover 90% of adhering neat cutting oil,ચિપ્સમાંથી 90% ચોંટેલું કટિંગ ઓઇલ પુનઃપ્રાપ્ત કરવા માટે સેન્ટ્રીફ્યુજ,चिप्स से 90% चिपके कटिंग तेल की वसूली के लिए सेंट्रीफ्यूज,waste_circularity,"{""brass_components"",""other""}",cutting_oil,reduce_fraction,"{""share_of_pool"":1.0,""reduction"":0.30,""reduction_low"":0.20,""reduction_high"":0.50}","{""type"":""fixed"",""mode"":250000,""low"":150000,""high"":400000}","{""type"":""cost_share""}",10,2,0,6,"{}","{}","{""min_pool_share"":0.005}",Machining Lubricant Recovery,,false
