Date,Particulars,Voucher Type,Voucher No,Quantity,Unit,Rate,Gross Value
2026-06-02,Brass Rod 12mm IS319 Gr.1,Purchase,PUR-2026-0142,18500,kg,420.0,7770000
2026-06-04,HSD High Speed Diesel,Purchase,PUR-2026-0143,750,L,91.5,68625
2026-06-08,Corrugated Cartons 5-Ply 400x300x250,Purchase,PUR-2026-0144,1200,kg,68.0,81600
2026-06-12,Neat Cutting Oil ServoCut S,Purchase,PUR-2026-0145,300,kg,145.0,43500
2026-06-15,Furnace Oil LSHS Grade,Purchase,PUR-2026-0146,1150,kg,56.0,64400
2026-06-18,Brass Hex Bar 19mm IS319,Purchase,PUR-2026-0147,24000,kg,422.0,10128000
2026-06-22,LDPE Stretch Film Roll 23 Micron,Purchase,PUR-2026-0148,220,kg,125.0,27500
2026-06-25,HSD High Speed Diesel,Purchase,PUR-2026-0149,800,L,91.5,73200
2026-06-28,Office Stationery & Computer Paper,Purchase,PUR-2026-0150,15,pkt,350.0,5250
2026-07-03,Brass Rod 16mm IS319,Purchase,PUR-2026-0151,22000,kg,419.0,9218000
2026-07-06,Soluble Cutting Oil Semi-Synthetic,Purchase,PUR-2026-0152,320,kg,150.0,48000
2026-07-11,HSD High Speed Diesel,Purchase,PUR-2026-0153,1050,L,92.0,96600
2026-07-16,Furnace Oil LSHS Grade,Purchase,PUR-2026-0154,1080,kg,55.5,59940
2026-07-20,Heavy Truck Freight Jamnagar-Gurugram,Purchase,PUR-2026-0155,24500,t*km,4.4,107800
2026-07-26,Brass Hollow Rod 25mm,Purchase,PUR-2026-0156,21500,kg,425.0,9137500
2026-08-04,Brass Rod 10mm IS319,Purchase,PUR-2026-0157,26000,kg,421.0,10946000
2026-08-09,HSD High Speed Diesel,Purchase,PUR-2026-0158,950,L,92.0,87400
2026-08-14,Corrugated Cartons 7-Ply Heavy,Purchase,PUR-2026-0159,1400,kg,72.0,100800
2026-08-20,Tea and Pantry Provisions,Purchase,PUR-2026-0160,1,lot,4200.0,4200
2026-08-25,Furnace Oil LSHS Grade,Purchase,PUR-2026-0161,1120,kg,55.0,61600
